         151919 function calls (145200 primitive calls) in 1.406 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 _cpwsgi.py:139(_TrappedResponse)
        1    0.000    0.000    0.000    0.000 _cpwsgi.py:212(AppResponse)
        1    0.000    0.000    0.000    0.000 _cpwsgi.py:33(VirtualHost)
        1    0.000    0.000    0.000    0.000 _cpwsgi.py:341(CPWSGIApp)
        1    0.000    0.000    0.000    0.000 _cpwsgi.py:366(__init__)
        1    0.000    0.000    0.000    0.000 _cpwsgi.py:8(<module>)
        1    0.000    0.000    0.000    0.000 _cpwsgi.py:84(InternalRedirector)
        1    0.000    0.000    0.000    0.000 _cpwsgi_server.py:10(CPWSGIServer)
        1    0.000    0.000    0.000    0.000 _cpwsgi_server.py:19(__init__)
        1    0.001    0.001    0.035    0.035 _cpwsgi_server.py:3(<module>)
        1    0.000    0.000    0.000    0.000 _endian.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _endian.py:23(_swapped_meta)
        1    0.000    0.000    0.000    0.000 _endian.py:46(BigEndianStructure)
        1    0.000    0.000    0.000    0.000 _parseaddr.py:174(AddrlistClass)
        1    0.000    0.000    0.000    0.000 _parseaddr.py:466(AddressList)
        1    0.000    0.000    0.000    0.000 _parseaddr.py:7(<module>)
        1    0.000    0.000    0.000    0.000 _pyio.py:1052(BufferedWriter)
        1    0.000    0.000    0.000    0.000 _pyio.py:1149(BufferedRWPair)
        1    0.000    0.000    0.000    0.000 _pyio.py:1221(BufferedRandom)
        1    0.000    0.000    0.000    0.000 _pyio.py:1294(TextIOBase)
        1    0.000    0.000    0.000    0.000 _pyio.py:1362(IncrementalNewlineDecoder)
        1    0.000    0.000    0.000    0.000 _pyio.py:1447(TextIOWrapper)
        1    0.000    0.000    0.000    0.000 _pyio.py:1990(StringIO)
        1    0.000    0.000    0.000    0.000 _pyio.py:224(DocDescriptor)
        1    0.000    0.000    0.000    0.000 _pyio.py:233(OpenWrapper)
        1    0.000    0.000    0.000    0.000 _pyio.py:256(IOBase)
